Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_Header_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Description|Change number|Primary Output|Division|Authorization Group|Validity From|Validity To|Created by|Created on|Changed by|Changed on|System Status|User Status|Formula|Flag
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000002429|000000000000012372|11|ALL|20080807|20080929|KKLOTTER|20080512|DBAYDO|20080807|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000002671|000000000000012372|11|ALL|20080930|20081222|KKLOTTER|20080512|DBAYDO|20081015|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000002990|000000000000012372|11|ALL|20081223|20090326|KKLOTTER|20080512|DBAYDO|20081224|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000003402|000000000000012372|11|ALL|20090327|20090707|KKLOTTER|20080512|DBAYDO|20090401|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000003954|000000000000012372|11|ALL|20090708|20120221|KKLOTTER|20080512|JSTRATTO|20090709|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000007148|000000000000012372|11|ALL|20090708|20120221|KKLOTTER|20080512|JSTRATTO|20090709|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000009146|000000000000012372|11|ALL|20120222|99991231|KKLOTTER|20080512|KKLOTTER|20120222|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000010803|000000000000012372|11|ALL|20120222|99991231|KKLOTTER|20080512|KKLOTTER|20120222|Obsolete|Released Submitted - Obsolete|000000120306|
0000000000000000000000000000000000007824|GrnWks Ntrl DilutClnr SplyTng 12/828ml CA||000000000000012772|11|ALL|00010101|99991231|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120310|
0000000000000000000000000000000000007824|GrnWks Ntrl DilutClnr SplyTng 12/828ml CA|000000009079|000000000000012772|11|ALL|00010101|99991231|ALAVICTO|20080512|ALAVICTO|20080512|Obsolete|Released Submitted - Obsolete|000000120310|
0000000000000000000000000000000000007825|GrnWks APC SplyTng 12/946ml CA||000000000000012772|11|ALL|00010101|99991231|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120314|
0000000000000000000000000000000000007825|GrnWks APC SplyTng 12/946ml CA|000000007286|000000000000012771|11|ALL|00010101|99991231|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120314|
0000000000000000000000000000000000007825|GrnWks APC SplyTng 12/946ml CA|000000015348|000000000000012771|11|ALL|00010101|99991231|ALAVICTO|20080512|ALAVICTO|20080512|Obsolete|Released Submitted - Obsolete|000000120314|
0000000000000000000000000000000000007826|CU GrnWks APC SplyTng 12/946ml CA||120300.001|11|ALL|00010101|20080929|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120316|
0000000000000000000000000000000000007826|CU GrnWks APC SplyTng 12/946ml CA|000000002671|120300.001|11|ALL|20080930|20081222|ALAVICTO|20080512|DBAYDO|20081030|Released|Released|000000120316|
0000000000000000000000000000000000007826|CU GrnWks APC SplyTng 12/946ml CA|000000002989|120300.001|11|ALL|20081223|20090326|ALAVICTO|20080512|DBAYDO|20081229|Released|Released|000000120316|
0000000000000000000000000000000000007826|CU GrnWks APC SplyTng 12/946ml CA|000000003394|120300.001|11|ALL|20090327|99991231|ALAVICTO|20080512|DBAYDO|20090327|Released|Released|000000120316|
0000000000000000000000000000000000007826|CU GrnWks APC SplyTng 12/946ml CA|000000006766|120300.001|11|ALL|20090327|99991231|ALAVICTO|20080512|DBAYDO|20090327|Obsolete|Released Submitted - Obsolete|000000120316|
0000000000000000000000000000000000007827|CU GrnWks Ntrl DilutClnr SplyTng 12/828ml CA||120309.001|11|ALL|00010101|20090609|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120318|
